disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1990,,,,,3548610.44,2458366.46,948474.24,2023-10-31T00:00:00.000Z,,147565,27370b08ac2624f5486dfd158eec44e27df1fcac,2023-10-31T04:23:02.791Z,7264a135-ad1b-4469-9df4-2e7fd342e432
2114,,,,,1332890,1332890,,2023-10-31T00:00:00.000Z,,,bb9c5441a5b3517bc832f4dd5e0079ccdf4dd39f,2023-10-31T06:42:56.884Z,4e32f593-0ad5-4da9-a0d6-ef47f14acb0a
1895,27602,58954565.86,56928024.52,2026541.34,25084370.59,12005581.82,12858213.19,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,10934664.95,e47ac0fd3172ba720df7fcc1b8cc12a6948d9e57,2023-10-31T05:42:54.770Z,2c89da11-1bab-4be1-b84c-1fe96f7003d6
2100,,,,,,,,,,,401c5662186830e4594aef1bd9e8faa2d57c0baf,2023-03-18T13:22:12.883Z,32b50279-9a0b-46eb-932c-002fae28d0cc
2101,,,,,,,,,,,0d6facb55fabd7dba97e2bcab16167f5ac4f011b,2023-03-18T13:22:12.883Z,65cf7d7f-3ee2-4bf7-bb19-bc1bb3e69f5d
1992,,,,,1756346.8,900587.41,658196.23,2023-10-31T00:00:00.000Z,,306106.24,3eb5995d893ede44cf2ae12ae45a34f3a6e3408c,2023-10-31T04:23:02.791Z,7e2ab16a-1ee4-4a80-a725-12c5ac17d599
1993,,,,,35684182.87,2257934.92,32495422.95,2023-10-31T00:00:00.000Z,,4693006,45da83cde27d752cd991cfd7a20d5a728642b403,2023-10-31T04:23:02.791Z,d1132f11-7c02-4383-957a-c9e4768934bf
2115,,,,,6199578,6199578,,2023-10-31T00:00:00.000Z,,,81c7d3a7f1e821d9891f257ff5d18b51dd38330f,2023-10-31T06:42:56.884Z,6ae0229d-e211-462c-b2fb-c39f55f4f540
2105,,,,,,,,,,,c112e5a6f704dc9a4bcabec96e7e676ca310a242,2023-03-18T13:22:12.883Z,913d6329-4ac7-4e86-b857-e2b82d830601
2106,,,,,,,,,,,e926f5c1b60bac09cfd3b257b535591005236884,2023-03-18T13:22:12.883Z,013d01d3-1eff-40d2-9b75-5eb64e76d7af
1897,6709,16839844.02,15323835.76,1516008.26,31525292.67,17244437.8,13437260.92,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,8070040.93,4e17c4a6129807734b27c93d748cf4b9633dde50,2023-10-31T05:42:54.770Z,44fcda7c-23db-49c2-9ade-648cd81e9fde
1904,2364,5283702.22,4941144.26,342557.96,9398848.44,3791545.17,5289868.47,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,683397,7ee68b6be33d1f34c7e289b5be9014313d2dafe5,2023-10-31T05:42:54.770Z,df54ddef-63f2-4386-8cde-b8560531a888
1906,576,4273071.42,3672435.69,600635.73,5648118.08,1734213.42,3693711.26,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,1874578,e492ebe6d183de59bdc57b1fcf054a95f8329628,2023-10-31T05:42:54.770Z,bce79199-30c6-4284-80e8-9089927990c4
2116,,,,,79664.9,,79664.9,2023-10-31T00:00:00.000Z,,,194bd8883e58f7d46970c1a12bb5eae9db77e85c,2023-10-31T06:42:56.884Z,96132858-ed46-4c7d-bc85-77d598f29495
2117,,,,,228928.7,228928.7,,2023-10-31T00:00:00.000Z,,,9bd4e96ee82d26d10b5d0c7d55157f3f132f7dab,2023-10-31T06:42:56.884Z,512b6d4e-87cb-4771-9111-18d2c34efed6
1997,,,,,13570671.84,3268242.01,9830601.68,2023-10-31T00:00:00.000Z,,1807320,b519134e0a1e2d861a38758dc75ae5cba4df5e92,2023-10-31T04:23:02.791Z,3e82f525-79a5-4bcf-9787-deeb08d89335
2118,,,,,89556.6,89556.6,,2023-10-31T00:00:00.000Z,,,42a806a5eed691cafd770bae378e8e279a8b2e11,2023-10-31T06:42:56.884Z,64e69263-09cb-4230-953b-ea0a4d4c7666
1908,301,1549737.37,1271585.7,278151.67,7358685.38,5139044.56,2016055.82,2023-10-31T00:00:00.000Z,2023-10-31T00:00:00.000Z,931412,7f257a90b0beee4428e4ba77124f44b89243bd1e,2023-10-31T05:42:54.770Z,d0fe5687-f5cf-48d8-aa73-a18262528479
1999,,,,,52813413.07,49125112.11,2973445.78,2023-10-31T00:00:00.000Z,,11629211.82,d5cd7e5c19ea67c27dcbd4989ca0fb8a236c458f,2023-10-31T04:23:02.791Z,07878022-0c66-423b-b470-8ace14488ee5
2251,,,,,1287229.08,1233867.6,53361.48,2023-10-31T00:00:00.000Z,,,6ec978bd6f9c4e156c60746023d2551b1118bb71,2023-10-31T04:23:02.791Z,d33cd2b0-fbdd-4d5d-a139-9cc1d9faa709
2252,,,,,993223,993223,,2023-10-31T00:00:00.000Z,,,cef3a6eb772cb8e9a0592569eb6c5512ecf516fe,2023-10-31T04:23:02.791Z,99b18a1d-f6e6-4c9b-8c40-c8af4bf71080
2253,,,,,579368.3,579368.3,,2023-10-31T00:00:00.000Z,,,f7f3f6a1f1a1db9eebacb8329e26cd1fd67f8634,2023-10-31T04:23:02.791Z,9496d022-7b12-4807-b701-af5c521f9b8f
2254,,,,,1273616.4,1273616.4,,2023-10-31T00:00:00.000Z,,,16bf48bda0d3f1eaa53c53972d180c9888f31a27,2023-10-31T04:23:02.791Z,7ace6447-1ad6-4ebd-ae32-028907550420
2255,,,,,193692.1,193692.1,,2023-10-31T00:00:00.000Z,,,fd35d3ed31ecaba506367e5291f33092c59dd2d6,2023-10-31T04:23:02.791Z,bdfad592-5e55-4002-a9a1-e4ad91204dc6
